Species,Index
SP_1,12
SP_2,24
SP_3,18
SP_4,18
SP_5,29
SP_6,52
SP_7,9
SP_8,44
SP_9,46
SP_10,3
SP_11,52
SP_12,23
SP_13,47
SP_14,6
SP_15,52
SP_16,26
SP_17,35
SP_18,34
SP_19,45
SP_20,11
SP_21,31
SP_22,32
SP_23,30
SP_24,45
SP_25,11
SP_26,35
SP_27,22
SP_28,12
SP_29,27
SP_30,20
SP_31,49
SP_32,15
SP_33,28
SP_34,1
SP_35,52
SP_36,23
SP_37,34
SP_38,9
SP_39,49
SP_40,51
SP_41,4
SP_42,1
SP_43,45
SP_44,39
SP_45,11
SP_46,46
SP_47,33
SP_48,10
SP_49,24
SP_50,49
SP_51,5
SP_52,3
SP_53,1
SP_54,49
SP_55,39
SP_56,44
SP_57,23
SP_58,44
SP_59,40
SP_60,7
SP_61,21
SP_62,2
SP_63,23
SP_64,2
SP_65,1
SP_66,3
SP_67,49
SP_68,46
SP_69,30
SP_70,48
SP_71,46
SP_72,12
SP_73,36
SP_74,39
SP_75,3
SP_76,46
SP_77,22
SP_78,25
SP_79,7
SP_80,9
SP_81,28
SP_82,32
SP_83,28
SP_84,3
SP_85,8
SP_86,29
SP_87,5
SP_88,34
SP_89,33
SP_90,6
SP_91,23
SP_92,37
SP_93,43
SP_94,51
SP_95,22
SP_96,35
SP_97,20
SP_98,31
SP_99,10
SP_100,4
