Species,Index
SP_1,135
SP_2,352
SP_3,362
SP_4,364
SP_5,10
SP_6,511
SP_7,153
SP_8,238
SP_9,490
SP_10,19
SP_11,487
SP_12,283
SP_13,423
SP_14,409
SP_15,68
SP_16,425
SP_17,238
SP_18,360
SP_19,26
SP_20,470
SP_21,339
SP_22,251
SP_23,376
SP_24,161
SP_25,497
SP_26,234
SP_27,193
SP_28,123
SP_29,517
SP_30,127
SP_31,284
SP_32,308
SP_33,430
SP_34,7
SP_35,489
SP_36,11
SP_37,166
SP_38,519
SP_39,431
SP_40,485
SP_41,262
SP_42,26
SP_43,458
SP_44,478
SP_45,392
SP_46,43
SP_47,315
SP_48,252
SP_49,376
SP_50,412
SP_51,325
SP_52,451
SP_53,276
SP_54,236
SP_55,440
SP_56,301
SP_57,254
SP_58,168
SP_59,404
SP_60,510
SP_61,489
SP_62,371
SP_63,408
SP_64,297
SP_65,200
SP_66,426
SP_67,393
SP_68,507
SP_69,139
SP_70,403
SP_71,266
SP_72,363
SP_73,75
SP_74,26
SP_75,205
SP_76,122
SP_77,49
SP_78,292
SP_79,375
SP_80,315
SP_81,179
SP_82,381
SP_83,32
SP_84,285
SP_85,296
SP_86,9
SP_87,149
SP_88,505
SP_89,203
SP_90,4
SP_91,309
SP_92,395
SP_93,51
SP_94,330
SP_95,446
SP_96,178
SP_97,265
SP_98,298
SP_99,279
SP_100,468
SP_101,428
SP_102,27
SP_103,359
SP_104,167
SP_105,421
SP_106,225
SP_107,318
SP_108,428
SP_109,152
SP_110,163
SP_111,47
SP_112,204
SP_113,460
SP_114,296
SP_115,145
SP_116,290
SP_117,362
SP_118,143
SP_119,61
SP_120,370
SP_121,60
SP_122,39
SP_123,246
SP_124,175
SP_125,252
SP_126,274
SP_127,226
SP_128,294
SP_129,401
SP_130,17
SP_131,391
SP_132,380
SP_133,240
SP_134,371
SP_135,508
SP_136,152
SP_137,202
SP_138,134
SP_139,480
SP_140,69
SP_141,397
SP_142,511
SP_143,232
SP_144,245
SP_145,460
SP_146,199
SP_147,112
SP_148,54
SP_149,261
SP_150,381
